cvegeo,cve_agee,cve_agem,nom_agem,cve_cab,pob,pob_fem,pob_mas,viv,nom_cab,pobreza,median_ntl,mean_ntl,max_ntl,min_ntl,median_sum_ntl,log_median_ntl,log_mean_ntl,z_median_ntl,scale_median_ntl,log_max,log_min,log_sum
1008,"01","008",San José de Gracia,"0001","9552","5020","4532","2381",,96,0.5,0.991292392300642,147,0.5,2144.5,-0.693147180559945,-0.00874574043995738,-1.25802352660835,-1.75661615220892,4.99043258677874,-0.693147180559945,7.67066170395694
1009,"01","009",Tepezalá,"0001","22485","11371","11114","5425",,170,3.5,6.65670367207515,183.5,1,6625,1.25276296849537,1.89562441789416,1.74197647339165,-1.74817190581232,5.21221466749463,0,8.79860565085442
1010,"01","010",El Llano,"0001","20853","10407","10446","5211",,77,1.5,3.60291262135922,109.5,1.5,5416.5,0.405465108108164,1.28174257983692,-0.258023526608352,-1.75380140341005,4.69592454925656,0.405465108108164,8.59720512938562
1011,"01","011",San Francisco de los Romo,"0001","61997","31292","30705","16391",,691,9,30.968882602546,313,2,20483,2.19722457733622,3.43298291333893,7.24197647339165,-1.73269078741856,5.74620319054015,0.693147180559945,9.92735055280066
1001,"01","001",Aguascalientes,"0001","948990","486917","462073","266942",Aguascalientes,5305,6,32.9614994934144,622,2.5,180395.5,1.79175946922805,3.49534019834546,4.24197647339165,-1.74113503381516,6.43294009273918,0.916290731874155,12.1029069417319
1002,"01","002",Asientos,"0001","51536","26275","25261","12544",,468,3,6.34078615218175,101,3,9267,1.09861228866811,1.84700275952876,1.24197647339165,-1.74957928021175,4.61512051684126,1.09861228866811,9.13421498158669
1003,"01","003",Calvillo,"0001","58250","29687","28563","15556",,571,3.5,5.35553191489362,163.5,3.5,8724.5,1.25276296849537,1.67813002947911,1.74197647339165,-1.74817190581232,5.09681299033731,1.25276296849537,9.07389043883829
1004,"01","004",Cosío,"0001","17000","8708","8292","3938",,98,4,8.88514548238897,150,4,3194,1.38629436111989,2.18438083540492,2.24197647339165,-1.74676453141289,5.01063529409626,1.38629436111989,8.06902932877496
1005,"01","005",Jesús María,"0001","129929","65710","64219","33229",,1202,4.5,16.3915094339623,275,4.5,30256.5,1.50407739677627,2.79676348332688,2.74197647339165,-1.74535715701345,5.61677109766657,1.50407739677627,10.3174663164095
1006,"01","006",Pabellón de Arteaga,"0001","47646","24269","23377","11470",,614,9,15.5342741935484,260.5,5,10455,2.19722457733622,2.74304882102929,7.24197647339165,-1.73269078741856,5.56260286119342,1.6094379124341,9.25483561186273
1007,"01","007",Rincón de Romos,"0001","57369","29268","28101","13584",,748,5.5,11.8211467648606,293,5.5,12022,1.70474809223843,2.46989002629565,3.74197647339165,-1.74254240821459,5.68017260901707,1.70474809223843,9.39449358359911
2002,"02","002",Mexicali,"0001","1049792","520544","529248","330500",,4590,6,14.0270479275083,32773.5,6,441156.5,1.79175946922805,2.6409874605356,4.24197647339165,-1.74113503381516,10.3973755409942,1.79175946922805,12.9971549667591
2004,"02","004",Tijuana,"0001","1922523","953783","968740","577011",,4606,11,52.2327702702703,819,6.5,270744.5,2.39789527279837,3.95571008087068,9.24197647339165,-1.72706128982083,6.70808408385307,1.87180217690159,12.5089308507142
2001,"02","001",Ensenada,"0001","443807","222500","221307","139968",Asientos,3057,7,8.3236386472908,688,7,98014.5,1.94591014905531,2.11909949664374,5.24197647339165,-1.73832028501629,6.53378883793334,1.94591014905531,11.4928707058915
2007,"02","007",San Felipe,"0001",,,,,San Felipe,,7.5,25.7741046601226,32775,7.5,1090935,2.01490302054226,3.24937029254402,5.74197647339165,-1.73691291061686,10.3974213086319,2.01490302054226,13.9025456846719
2006,"02","006",San Quintín,"0001","117568","57790","59778","32773",,,8,18.1262844219623,32775.5,8,1853715.5,2.07944154167984,2.89736306288995,6.24197647339165,-1.73550553621742,10.3974365640457,2.07944154167984,14.4327025613373
2005,"02","005",Playas de Rosarito,"0001","126890","62504","64386","38135",,526,8.5,22.7747507122507,251.5,8.5,40092,2.14006616349627,3.12565249741107,6.74197647339165,-1.73409816181799,5.52744298953979,2.14006616349627,10.5989320921448
2003,"02","003",Tecate,"0001","108440","51310","57130","31176",,1138,9,11.4817416619201,1144.5,9,39223,2.19722457733622,2.44075809209502,7.24197647339165,-1.73269078741856,7.04272313939262,2.19722457733622,10.5770185884109
3001,"03","001",Comondú,"0001","73021","36217","36804","22242",,1198,9.5,1016.80970594132,32777,9.5,95469801.5,2.2512917986065,6.92442526540533,7.74197647339165,-1.73128341301913,10.3974823288906,2.2512917986065,18.3743205407849
3002,"03","002",Mulegé,"0001","64022","30951","33071","19436",,998,10,616.124446002305,32777.5,10,102024089,2.30258509299405,6.42344896586069,8.24197647339165,-1.72987603861969,10.3974975833736,2.30258509299405,18.4407195100323
3003,"03","003",La Paz,"0001","292241","146438","145803","91366",,3264,10.5,544.321046204702,32778,10.5,43279018,2.35137525716348,6.29953923124545,8.74197647339165,-1.72846866422026,10.3975128376238,2.35137525716348,17.5831785027811
3008,"03","008",Los Cabos,"0001","351111","170167","180944","101981",,3325,11,15.3116280289521,427,11,82216.5,2.39789527279837,2.72861254163549,9.24197647339165,-1.72706128982083,6.05678401322862,2.39789527279837,11.3171112908277
3009,"03","009",Loreto,"0001","18052","8795","9257","5635",,90,11.5,11.7050994093669,208.5,11.5,4942.5,2.4423470353692,2.46002459380446,9.74197647339165,-1.72565391542139,5.33993904123886,2.4423470353692,8.50562655504477
4002,"04","002",Campeche,"0001","294077","152522","141555","85353",,2393,12,16.9569115815691,664,12,79620,2.484906649788,2.83067551363818,10.2419764733916,-1.72424654102196,6.49828214947643,2.484906649788,11.2850205965543
4001,"04","001",Calkiní,"0001","59232","30062","29170","15289",,585,12.5,127.968090044094,32780,12.5,995116.5,2.52572864430826,4.85178093630955,10.7419764733916,-1.72283916662253,10.3975738522978,2.52572864430826,13.8106150947139
4005,"04","005",Hecelchakán,"0001","31917","16204","15713","8292",,285,13,13.7596624073198,211.5,13,4828.5,2.56494935746154,2.62174129785246,11.2419764733916,-1.72143179222309,5.35422499848633,2.56494935746154,8.48229113940697
4003,"04","003",Carmen,"0001","248845","125802","123043","72119",,1868,13.5,5317.35404617427,32781,13.5,223759008,2.60268968544438,8.57873109886963,11.7419764733916,-1.72002441782366,10.3976043582389,2.60268968544438,19.2260801735267
4011,"04","011",Candelaria,"0001","46913","23239","23674","13294",,245,14,14.2276952339937,158.5,14,6358.5,2.63905732961526,2.65519043369891,12.2419764733916,-1.71861704342423,5.06575459331733,2.63905732961526,8.7575477794608
4004,"04","004",Champotón,"0001","78170","39140","39030","21474",,836,14.5,14.9450322977545,240,14.5,14482.5,2.67414864942653,2.70437895684126,12.7419764733916,-1.7172096690248,5.48063892334199,2.67414864942653,9.58069630297078
4007,"04","007",Palizada,"0001","8683","4260","4423","2546",,142,15,15.2458643122677,143.5,15,2660.5,2.70805020110221,2.72430827363586,13.2419764733916,-1.71580229462536,4.96633503519968,2.70805020110221,7.88626935403642
4008,"04","008",Tenabo,"0001","11452","5655","5797","3066",,79,15.5,16.0987267198784,152.5,15.5,3166,2.7408400239252,2.77874018314114,13.7419764733916,-1.71439492022593,5.02716459604747,2.7408400239252,8.06022424044096
4009,"04","009",Escárcega,"0001","59923","30455","29468","16837",,511,16,16.5357067040292,301,16,12633.5,2.77258872223978,2.80552208540729,14.2419764733916,-1.7129875458265,5.70711026474888,2.77258872223978,9.44410729492752
4010,"04","010",Calakmul,"0001","31714","15613","16101","8037",,158,16.5,16.5801130666047,153,16.5,5529,2.80336038090653,2.80820396914135,14.7419764733916,-1.71158017142706,5.03043792139244,2.80336038090653,8.61776224633793
4013,"04","013",Dzitbalché,"0001",,,,,Dzitbalché,,17,18.9425287356322,166.5,17,3566,2.83321334405622,2.94140959181483,15.2419764733916,-1.71017279702763,5.1149953094205,2.83321334405622,8.17919979842309
4012,"04","012",Seybaplaya,"0001","15297","7660","7637","4274",,,17.5,19.2178321678322,115,17.5,2474,2.86220088092947,2.95583860674546,15.7419764733916,-1.7087654226282,4.74493212836325,2.86220088092947,7.81359155295243
4006,"04","006",Hopelchén,"0001","42140","20812","21328","10243",,679,18,18.1748670730126,137.5,18,6760,2.89037175789616,2.90003970966588,16.2419764733916,-1.70735804822876,4.92362391710663,2.89037175789616,8.81877816903701
5035,"05","035",Torreón,"0001","720848","369095","351753","215134",,3164,18.5,49.9700422577724,604,18.5,208539,2.91777073208428,3.9114236710186,16.7419764733916,-1.70595067382933,6.40357419793482,2.91777073208428,12.247881353089
5036,"05","036",Viesca,"0001","20305","10075","10230","5356",,441,19,19.2670206671661,99.5,19,6078.5,2.94443897916644,2.95839486056977,17.2419764733916,-1.7045432994299,4.60015764416455,2.94443897916644,8.71251323399585
5032,"05","032",San Juan de Sabinas,"0014","42260","21338","20922","13101",,61,19.5,22.5191172999764,286,19.5,12811.5,2.9704144655697,3.11436460623227,17.7419764733916,-1.70313592503047,5.65599181081985,2.9704144655697,9.45809848405431
5029,"05","029",Sacramento,"0001","2471","1229","1242","725",,,20,20.3778954334878,84.5,20,591,2.99573227355399,3.0144507561957,18.2419764733916,-1.70172855063103,4.43675153436313,2.99573227355399,6.3818160174061
5014,"05","014",Jiménez,"0001","9502","4645","4857","2729",,68,20.5,20.6580114266223,85.5,20.5,1873.5,3.02042488614436,3.02810320671733,18.7419764733916,-1.7003211762316,4.44851637594271,3.02042488614436,7.53556361823374
5002,"05","002",Acuña,"0001","163058","81115","81943","47246",,751,21,21.651848534202,328.5,21,40044.5,3.04452243772342,3.07509083344573,19.2419764733916,-1.69891380183217,5.79453683792467,3.04452243772342,10.5977466147265
5004,"05","004",Arteaga,"0001","29578","14623","14955","8639",,205,21.5,23.3269276253548,251,21.5,15470,3.06805293513362,3.14960838534896,19.7419764733916,-1.69750642743273,5.52545293913178,3.06805293513362,9.64665794356711
5005,"05","005",Candela,"0001","1643","800","843","471",,,22,22.0475396539293,71.5,22,549.5,3.09104245335832,3.09320101534664,20.2419764733916,-1.6960990530333,4.26969744969996,3.09104245335832,6.30900877384368
5027,"05","027",Ramos Arizpe,"0001","122243","59521","62722","34397",,449,22.5,24.0094040755751,374,22.5,52909,3.11351530921037,3.17844559008237,20.7419764733916,-1.69469167863387,5.92425579741453,3.11351530921037,10.8763287357007
5009,"05","009",Francisco I. Madero,"0001","59035","29818","29217","15901",,182,23,24.2571955971833,257,23,18412,3.13549421592915,3.18871329902618,21.2419764733916,-1.69328430423443,5.54907608489522,3.13549421592915,9.82075790493713
5033,"05","033",San Pedro,"0001","101041","51092","49949","26588",,515,23.5,24.2692255874111,305.5,23.5,28571,3.15700042115011,3.18920911100574,21.7419764733916,-1.691876929835,5.72194977861165,3.15700042115011,10.2601474963624
5024,"05","024",Parras,"0001","44472","21938","22534","12735",,276,24,24.21957170952,258,24,12082,3.17805383034795,3.1871610546292,22.2419764733916,-1.69046955543557,5.55295958492162,3.17805383034795,9.39947202069869
5025,"05","025",Piedras Negras,"0001","176327","87616","88711","51732",,604,24.5,45.4259405940594,374,24.5,52862.5,3.19867311755068,3.81608332059641,22.7419764733916,-1.68906218103614,5.92425579741453,3.19867311755068,10.8754494817807
5017,"05","017",Matamoros,"0001","118337","59645","58692","31207",,934,29,36.0223470363289,296,25,46142.5,3.36729582998647,3.58413949687903,27.2419764733916,-1.67639581144124,5.69035945432406,3.2188758248682,10.7394897131814
5023,"05","023",Ocampo,"0001","9642","4650","4992","2672",,,25.5,25.53628395825,501.5,25.5,5014,3.23867845216438,3.24010034112451,23.7419764733916,-1.68624743223727,6.21760360740199,3.23867845216438,8.51998927871824
5018,"05","018",Monclova,"0001","237951","119893","118058","69906",,905,26,38.0262232415902,997.5,26,78677.5,3.25809653802148,3.63827600703201,24.2419764733916,-1.68484005783784,6.90525214876402,3.25809653802148,11.2731124977226
5012,"05","012",Guerrero,"0001","1643","760","883","523",,,26.5,26.5428165190978,65.5,26.5,689,3.27714473299218,3.2787591468264,24.7419764733916,-1.6834326834384,4.18205014264121,3.27714473299218,6.53524127101366
5030,"05","030",Saltillo,"0001","879958","442166","437792","242663",,3136,27,33.3666896789783,455,27,184470,3.29583686600433,3.5075580873325,25.2419764733916,-1.68202530903897,6.12029741895095,3.29583686600433,12.1252421276156
5031,"05","031",San Buenaventura,"0001","24759","12484","12275","7627",,176,27.5,27.6862710519355,174.5,27.5,6365,3.31418600467253,3.32093666043417,25.7419764733916,-1.68061793463954,5.16192474164248,3.31418600467253,8.75856951099151
5020,"05","020",Múzquiz,"0001","71627","35771","35856","20663",,609,28,28.3242151956324,175.5,28,14280.5,3.3322045101752,3.34371709940339,26.2419764733916,-1.67921056024011,5.16763904290592,3.3322045101752,9.5666502492862
5019,"05","019",Morelos,"0001","7928","3993","3935","2335",,57,28.5,29.3386572020112,134.5,28.5,2864,3.3499040872746,3.37890600486489,26.7419764733916,-1.67780318584067,4.90156419904189,3.3499040872746,7.95997452808054
5016,"05","016",Lamadrid,"0001","1764","836","928","553",,,29,29.18308865048,85,29,677.5,3.36729582998647,3.37358938569325,27.2419764733916,-1.67639581144124,4.44265125649032,3.36729582998647,6.51840955275386
5010,"05","010",Frontera,"0001","82409","41200","41209","23371",,461,29.5,39.6848459616986,306.5,29.5,24493.5,3.38439026334577,3.68096940101076,27.7419764733916,-1.67498843704181,5.72521775537627,3.38439026334577,10.1061630552105
5021,"05","021",Nadadores,"0001","6539","3296","3243","1974",,,30,30.6751465103889,147.5,30,2564.5,3.40119738166216,3.42345276680037,28.2419764733916,-1.67358106264237,4.99382817577987,3.40119738166216,7.84951880682932
5008,"05","008",Escobedo,"0001","3047","1518","1529","908",,,30.5,30.6610594795539,82,30.5,897,3.41772668361337,3.42299342860508,28.7419764733916,-1.67217368824294,4.40671924726425,3.41772668361337,6.7990558620588
5006,"05","006",Castaños,"0001","29128","14532","14596","8382",,38,31,31.6272007799507,204.5,31,10967.5,3.43398720448515,3.45401753450628,29.2419764733916,-1.67076631384351,5.32056797548286,3.43398720448515,9.30269163304037
5001,"05","001",Abasolo,"0001","1022","487","535","363",,,31.5,31.6106546854942,68.5,31.5,462.5,3.44998754583159,3.45349423735421,29.7419764733916,-1.66935893944407,4.22683374526818,3.44998754583159,6.13664655695248
5007,"05","007",Cuatro Ciénegas,"0001","12715","6350","6365","3777",,83,32,32.0517850418691,164.5,32,2920,3.46573590279973,3.46735287734988,30.2419764733916,-1.66795156504464,5.10291057020543,3.46573590279973,7.97933889526233
5003,"05","003",Allende,"0001","23056","11610","11446","6852",,,32.5,35.4557291666667,127,32.5,4005,3.48124008933569,3.56828485252013,30.7419764733916,-1.66654419064521,4.84418708645859,3.48124008933569,8.29529885950246
5011,"05","011",General Cepeda,"0001","11898","5807","6091","3407",,,33,33.1110907625815,127,33,1549.5,3.49650756146648,3.49986829461609,31.2419764733916,-1.66513681624578,4.84418708645859,3.49650756146648,7.3456875772278
5013,"05","013",Hidalgo,"0001","1735","839","896","492",,68,33.5,33.7201173512154,114,33.5,1346.5,3.51154543883102,3.51809461329413,31.7419764733916,-1.66372944184634,4.7361984483945,3.51154543883102,7.20526391225165
5015,"05","015",Juárez,"0001","1584","798","786","486",,,34,34.0506025957973,89.5,34,689,3.52636052461616,3.52784772981917,32.2419764733916,-1.66232206744691,4.49423862528081,3.52636052461616,6.53524127101366
5022,"05","022",Nava,"0001","33129","16530","16599","9379",,205,34.5,38.1463338856669,288,34.5,17639,3.54095932403731,3.64142965575153,32.7419764733916,-1.66091469304748,5.66296048013595,3.54095932403731,9.77786763861148
5026,"05","026",Progreso,"0001","3239","1605","1634","995",,,35,35.0922362090556,77.5,35,1434.5,3.55534806148941,3.55797991538037,33.2419764733916,-1.65950731864804,4.3502779363593,3.55534806148941,7.26857163542142
5028,"05","028",Sabinas,"0001","64811","32574","32237","20215",,247,35.5,37.6821011300517,287,35.5,22821,3.56953269648137,3.62918521062833,33.7419764733916,-1.65809994424861,5.65948221575962,3.56953269648137,10.0354364436654
5034,"05","034",Sierra Mojada,"0001","6744","3217","3527","1937",,,36,36.0817647058823,259.5,36,3441.5,3.58351893845611,3.58578760491524,34.2419764733916,-1.65669256984918,5.55875670260594,3.58351893845611,8.14366270183842
5037,"05","037",Villa Unión,"0001","6188","3058","3130","1820",,57,36.5,36.6503824579296,99,36.5,1511,3.59731226058845,3.60142386369239,34.7419764733916,-1.65528519544974,4.59511985013459,3.59731226058845,7.32052696227274
5038,"05","038",Zaragoza,"0001","13135","6578","6557","3988",,,37,37.092997941267,154.5,37,3967,3.61091791264422,3.61342821706401,35.2419764733916,-1.65387782105031,5.0401940963378,3.61091791264422,8.28576542051433
6007,"06","007",Manzanillo,"0001","191031","95914","95117","59803",,2930,,,,,,,,,,,,
6009,"06","009",Tecomán,"0001","116305","58476","57829","33020",,1762,,,,,,,,,,,,
6001,"06","001",Armería,"0001","27626","13686","13940","8236",,328,38.5,56.605393369619,32806,38.5,36629.5,3.65065824129374,4.03610426988529,36.7419764733916,-1.64965569785201,10.3983667044724,3.65065824129374,10.508609205666
6002,"06","002",Colima,"0001","157048","80893","76155","50440",,1844,39,49.1310429114612,342,39,37341.5,3.66356164612965,3.89449107354453,37.2419764733916,-1.64824832345258,5.8348107370626,3.66356164612965,10.5278605876868
6005,"06","005",Cuauhtémoc,"0001","31267","15538","15729","9332",,963,39.5,42.3430317848411,136,39.5,5853.5,3.67630067190708,3.74580386883142,37.7419764733916,-1.64684094905315,4.91265488573605,3.67630067190708,8.67479505191973
6006,"06","006",Ixtlahuacán,"0001","5623","2736","2887","1713",,168,40,40.4560321715818,98.5,40,890.5,3.68887945411394,3.70021575900136,38.2419764733916,-1.64543357465371,4.59005654817804,3.68887945411394,6.79178310272972
6004,"06","004",Coquimatlán,"0001","20837","10353","10484","6192",,583,40.5,41.9453813721732,162.5,40.5,3811.5,3.70130197411249,3.73636832845321,38.7419764733916,-1.64402620025428,5.09067800176979,3.70130197411249,8.24577809142833
6010,"06","010",Villa de Álvarez,"0001","149762","77408","72354","49091",,1302,41,54.5077192982456,245.5,41,19289.5,3.71357206670431,3.99834233013933,39.2419764733916,-1.64261882585485,5.50329694723457,3.71357206670431,9.86731618539795
6008,"06","008",Minatitlán,"0001","10231","4997","5234","2914",,279,41.5,42.1873786407767,96.5,41.5,1457.5,3.72569342723665,3.74212109196554,39.7419764733916,-1.64121145145541,4.56954300834494,3.72569342723665,7.28447791822465
6003,"06","003",Comala,"0001","21661","10768","10893","6309",,452,42,44.590616966581,157.5,42,4073,3.73766961828337,3.79752345497741,40.2419764733916,-1.63980407705598,5.05942545826569,3.73766961828337,8.31213510764841
7078,"07","078",San Cristóbal de las Casas,"0001","215874","113582","102292","52718",,247,45.5,61.7660621761658,774.5,42.5,37226,3.8177123259569,4.12335405789694,43.7419764733916,-1.62995245625995,6.65221765985692,3.74950407593037,10.5247627208583
7027,"07","027",Chiapa de Corzo,"0001","112075","56909","55166","29653",,255,45.5,48.5046850598647,226,43,21192,3.8177123259569,3.88166039245051,43.7419764733916,-1.62995245625995,5.42053499927229,3.76120011569356,9.96137903095191
7040,"07","040",Huixtla,"0001","53242","27163","26079","14285",,211,43.5,46.6201469045121,178.5,43.5,5990.5,3.77276093809464,3.84203278470758,41.7419764733916,-1.63558195385768,5.18458860121969,3.77276093809464,8.69793016007995
7032,"07","032",Escuintla,"0001","30896","15682","15214","7882",,,44,45.6721149083705,197,44,3420,3.78418963391826,3.82148793460665,42.2419764733916,-1.63417457945825,5.28320372873799,3.78418963391826,8.13739583005665
7037,"07","037",Huehuetán,"0001","36333","18622","17711","9564",,,47,47.2106703146375,117,44.5,4007.5,3.85014760171006,3.85461993303053,45.2419764733916,-1.62573033306165,4.76217393479776,3.79548918917219,8.29592288448371
7068,"07","068",Pichucalco,"0001","31919","16267","15652","8604",,83,47.5,48.4747162022704,739,45,10146,3.8607297110406,3.88104234659421,45.7419764733916,-1.62432295866222,6.6052979209482,3.80666248977032,9.22483481812663
7069,"07","069",Pijijiapan,"0001","51193","26082","25111","14937",,88,45.5,46.2331809657759,205.5,45.5,6301,3.8177123259569,3.83369774302596,43.7419764733916,-1.62995245625995,5.32544603393629,3.8177123259569,8.74846362994206
7016,"07","016",Catazajá,"0001","17619","8737","8882","4788",,,46,46.6930051813472,106.5,46,2186,3.8286413964891,3.84359437147241,44.2419764733916,-1.62854508186052,4.66814498514948,3.8286413964891,7.68982866873648
7124,"07","124",Mezcalapa,"0001","23847","12148","11699","5811",Raudales Malpaso,,46.5,47.0405479452055,96.5,46.5,2019.5,3.83945231259331,3.85100995201754,44.7419764733916,-1.62713770746108,4.56954300834494,3.83945231259331,7.61060523500347
7005,"07","005",Amatán,"0001","24512","12184","12328","5665",,,47,47.9826030927835,104,47,1572,3.85014760171006,3.87083850964524,45.2419764733916,-1.62573033306165,4.64439089914137,3.85014760171006,7.36010397298915
7007,"07","007",Amatenango del Valle,"0001","11283","5910","5373","2561",,,47.5,48.4159891598916,75,47.5,723.5,3.8607297110406,3.87983011371075,45.7419764733916,-1.62432295866222,4.31748811353631,3.8607297110406,6.58410054607154
7080,"07","080",Siltepec,"0001","25937","12911","13026","5208",,110,48,48.7627931769723,107.5,48,1479,3.87120101090789,3.88696758715968,46.2419764733916,-1.62291558426279,4.67749084756772,3.87120101090789,7.2991214627108
7096,"07","096",Tila,"0001","83505","41804","41701","17999",,178,48.5,49.6350560081466,135,48.5,4507,3.88156379794344,3.9046973584413,46.7419764733916,-1.62150820986335,4.90527477843843,3.88156379794344,8.41338702269065
7054,"07","054",Mazatán,"0001","28250","14233","14017","7818",,,49,50.691168551427,134,49,3189.5,3.89182029811063,3.92575170511708,47.2419764733916,-1.62010083546392,4.89783979995091,3.89182029811063,8.06761944368201
7006,"07","006",Amatenango de la Frontera,"0001","31735","16307","15428","7580",,168,49.5,50.9596247960848,82,49.5,1839,3.90197266957464,3.93103364852261,47.7419764733916,-1.61869346106449,4.40671924726425,3.90197266957464,7.51697722460432
7090,"07","090",Tapalapa,"0001","4547","2338","2209","1102",,,50,51.2405063291139,118,50,442,3.91202300542815,3.93653035850028,48.2419764733916,-1.61728608666505,4.77068462446567,3.91202300542815,6.0913098820777
7098,"07","098",Totolapa,"0001","7211","3571","3640","1735",,,50.5,50.8600244498777,72,50.5,345,3.92197333628131,3.92907724072287,48.7419764733916,-1.61587871226562,4.27666611901606,3.92197333628131,5.84354441703136
7100,"07","100",Tumbalá,"0001","38025","19518","18507","7972",,,51,51.8418497700562,102,51,1698.5,3.93182563272433,3.94819773370017,49.2419764733916,-1.61447133786619,4.62497281328427,3.93182563272433,7.43750078760064
7025,"07","025",Chapultenango,"0001","7472","3737","3735","1724",,,51.5,51.8787878787879,77.5,51.5,389,3.94158180766969,3.94890999523521,49.7419764733916,-1.61306396346675,4.3502779363593,3.94158180766969,5.96357934361845
7041,"07","041",La Independencia,"0001","46409","23832","22577","11089",,94,52,54.5815758058098,154,52,6539.5,3.95124371858143,3.99969638635132,50.2419764733916,-1.61165658906732,5.03695260241363,3.95124371858143,8.78561598892921
7042,"07","042",Ixhuatán,"0001","11377","5838","5539","2611",,,52.5,54.0121951219512,91,52.5,734.5,3.96081316959758,3.98920985665895,50.7419764733916,-1.61024921466789,4.51085950651685,3.96081316959758,6.59918999561393
7044,"07","044",Ixtapa,"0001","28999","14713","14286","6169",,,53,55.2479734708917,118,53,3103.5,3.97029191355212,4.01183166046528,51.2419764733916,-1.60884184026846,4.77068462446567,3.97029191355212,8.04028578585371
7045,"07","045",Ixtapangajoya,"0001","6284","3162","3122","1535",,74,53.5,54.6733333333333,80.5,53.5,669.5,3.97968165390196,4.00137608294016,51.7419764733916,-1.60743446586902,4.38825718442452,3.97968165390196,6.50653116513123
7048,"07","048",Juárez,"0001","21807","11035","10772","6098",,,59,75.4798905608755,5592,56.5,78563,4.07753744390572,4.32386627059039,57.2419764733916,-1.59195334747526,8.62909228391365,4.0342406381524,11.2716561296719
7089,"07","089",Tapachula,"0001","353706","182096","171610","96307",,732,57.5,62.7427368421053,256,54.5,39207.5,4.0517849478033,4.13904282377646,55.7419764733916,-1.59617547067356,5.54517744447956,3.9982007016692,10.5766233340086
7035,"07","035",Frontera Hidalgo,"0001","14556","7380","7176","3695",,,58,59.0188470066519,97.5,55,1867.5,4.06044301054642,4.07785683368608,56.2419764733916,-1.59476809627413,4.5798523780038,4.00733318523247,7.53235591700697
7067,"07","067",Pantepec,"0001","12266","6212","6054","2938",,,55.5,57.1559454191033,90,55.5,905,4.01638302075239,4.04578341666021,53.7419764733916,-1.60180496827129,4.49980967033027,4.01638302075239,6.80793494369993
7065,"07","065",Palenque,"0001","132265","67189","65076","33719",,242,56,56.740742051972,194.5,56,10517.5,4.02535169073515,4.03849250740537,54.2419764733916,-1.60039759387186,5.2704321630585,4.02535169073515,9.26079581546468
7077,"07","077",Salto de Agua,"0001","64251","32405","31846","14760",,132,56.5,57.0800761841669,119,56.5,3559,4.0342406381524,4.04445512729883,54.7419764733916,-1.59899021947243,4.77912349311153,4.0342406381524,8.17723488551019
7123,"07","123",Emiliano Zapata,"0001","10783","5412","5371","2839",20 de Noviembre,,57,57.8813320825516,106.5,57,996.5,4.04305126783455,4.05839491605532,55.2419764733916,-1.59758284507299,4.66814498514948,4.04305126783455,6.90424913965285
7122,"07","122",El Parral,"0001","15587","7996","7591","4266",El Parral,,57.5,58.0022185246811,104,57.5,963,4.0517849478033,4.06048126024043,55.7419764733916,-1.59617547067356,4.64439089914137,4.0517849478033,6.87005341179813
7075,"07","075",Las Rosas,"0001","28829","14695","14134","7232",,,58,60.2122270742358,167,58,2591,4.06044301054642,4.09787543923668,56.2419764733916,-1.59476809627413,5.11799381241676,4.06044301054642,7.85979918056211
7076,"07","076",Sabanilla,"0001","29889","14968","14921","6775",,,58.5,59.7229013854931,109.5,58.5,1559,4.06902675423781,4.0897155546371,56.7419764733916,-1.59336072187469,4.69592454925656,4.06902675423781,7.35179986905778
7097,"07","097",Tonalá,"0001","91913","46632","45281","25574",,226,59,2727.27491961415,32826.5,59,24065230.5,4.07753744390572,7.91105819170412,57.2419764733916,-1.59195334747526,10.3989913950043,4.07753744390572,16.9962786388991
7099,"07","099",La Trinitaria,"0001","83111","42999","40112","20865",,197,59.5,60.6471382636656,215,59.5,8978.5,4.08597631255158,4.10507244983604,57.7419764733916,-1.59054597307583,5.37063802812766,4.08597631255158,9.10258810948195
7101,"07","101",Tuxtla Gutiérrez,"0001","604147","316623","287524","166210",,837,72.25,127.38630806846,532.5,62.5,110304,4.28013232699254,4.84722426537242,70.4919764733916,-1.55465792589029,6.27758289758358,4.13516655674236,11.6109954693166
7102,"07","102",Tuxtla Chico,"0001","41024","21247","19777","10633",,261,67.5,69.2596996245307,119,60.5,7059.5,4.21212759787848,4.23786320203924,65.7419764733916,-1.5680279826849,4.77912349311153,4.1026433650368,8.86212950644958
7120,"07","120",Capitán Luis Ángel Vidal,"0001","4315","2041","2274","805",Capitán Luis Ángel Vidal,,61,61.0433789954338,65,61,108.5,4.11087386417331,4.11158474251211,59.2419764733916,-1.58632384987753,4.17438726989564,4.11087386417331,4.68675017298051
7017,"07","017",Cintalapa de Figueroa,"0001","88106","44429","43677","21775",,245,61.5,62.4720426496516,216.5,61.5,11639.5,4.11903717481247,4.13471913906042,59.7419764733916,-1.5849164754781,5.37759054744254,4.11903717481247,9.36215976503636
7018,"07","018",Coapilla,"0001","9900","5027","4873","2447",,,62,62.9692005242464,130.5,62,801.5,4.12713438504509,4.14264572628295,60.2419764733916,-1.58350910107866,4.87137322676275,4.12713438504509,6.68648497204961
7019,"07","019",Comitán de Domínguez,"0001","166178","86738","79440","44451",,150,62.5,68.2633235417541,294,62.5,27530.5,4.13516655674236,4.22337263174176,60.7419764733916,-1.58210172667923,5.68357976733868,4.13516655674236,10.2230497599768
